no._x,date,day_gen_kwh,radiation_sensor-day_ins_kwh/m2/day_x,radiation_sensor-day_pr_%_x,no._y,day_gen__kwh,cuf_on_ac_capacity_%,cuf_on_dc_capacity_%,radiation_sensor-day_ins_kwh/m2/day_y,radiation_sensor-day_pr_%_y,adj_radiation_sensor-day_ins_kwh/m2/day,adj_radiation_sensor-day_pr_%,hour,day,month,year
49,2024-10-17,3051.63,5.13,71.01,49,3051.63,18.7,15.19,5.13,71.01,5.13,71.01,0,17,10,2024
50,2024-10-18,1728.06,2.71,76.18,50,1728.06,10.59,8.6,2.71,76.18,2.71,76.18,0,18,10,2024
51,2024-10-19,2494.63,3.91,76.28,51,2494.63,15.29,12.42,3.91,76.28,3.91,76.28,0,19,10,2024
52,2024-10-20,1216.22,4.09,35.48,52,1216.22,7.45,6.05,4.09,35.48,4.09,35.48,0,20,10,2024
53,2024-10-21,3366.56,5.77,69.72,53,3366.56,20.63,16.76,5.77,69.72,5.77,69.72,0,21,10,2024
54,2024-10-22,3293.05,5.4,72.78,54,3293.05,20.18,16.39,5.4,72.78,5.4,72.78,0,22,10,2024
55,2024-10-23,3591.03,5.83,73.59,55,3591.03,22.0,17.87,5.83,73.59,5.83,73.59,0,23,10,2024
56,2024-10-24,1706.15,3.41,59.72,56,1706.15,10.45,8.49,3.41,59.72,3.41,59.72,0,24,10,2024
57,2024-10-25,2992.12,4.82,74.19,57,2992.12,18.33,14.89,4.82,74.19,4.82,74.19,0,25,10,2024
58,2024-10-26,3193.2,5.07,75.18,58,3193.2,19.57,15.89,5.07,75.18,5.07,75.18,0,26,10,2024
59,2024-10-27,1270.36,5.0,30.36,59,1270.36,7.78,6.32,5.0,30.36,5.0,30.36,0,27,10,2024
60,2024-10-28,3268.92,5.29,73.78,60,3268.92,20.03,16.27,5.29,73.78,5.29,73.78,0,28,10,2024
61,2024-10-29,2486.92,4.1,72.48,61,2486.92,15.24,12.38,4.1,72.48,4.1,72.48,0,29,10,2024
62,2024-10-30,1578.03,2.5,75.53,62,1578.03,9.67,7.85,2.5,75.53,2.5,75.53,0,30,10,2024
63,2024-10-31,976.77,3.54,33.01,63,976.77,5.99,4.86,3.54,33.01,3.54,33.01,0,31,10,2024
64,2024-11-01,939.81,4.05,27.73,64,939.81,5.76,4.68,4.05,27.73,4.05,27.73,0,1,11,2024
65,2024-11-02,908.4,3.66,29.63,65,908.4,5.57,4.52,3.66,29.63,3.66,29.63,0,2,11,2024
66,2024-11-03,957.1,5.25,21.79,66,957.1,5.86,4.76,5.25,21.79,5.25,21.79,0,3,11,2024
67,2024-11-04,3431.49,5.65,72.54,67,3431.49,21.03,17.08,5.65,72.54,5.65,72.54,0,4,11,2024
68,2024-11-05,3318.93,5.33,74.33,68,3318.93,20.34,16.52,5.33,74.33,5.33,74.33,0,5,11,2024
69,2024-11-06,3173.55,4.97,76.22,69,3173.55,19.45,15.8,4.97,76.22,4.97,76.22,0,6,11,2024
70,2024-11-07,1484.45,2.32,76.5,70,1484.45,9.1,7.39,2.32,76.5,2.32,76.5,0,7,11,2024
71,2024-11-08,3447.58,5.83,70.68,71,3447.58,21.12,17.16,5.83,70.68,5.83,70.68,0,8,11,2024
72,2024-11-09,2919.02,4.8,72.69,72,2919.02,17.89,14.53,4.8,72.69,4.8,72.69,0,9,11,2024
73,2024-11-10,729.27,4.62,18.88,73,729.27,4.47,3.63,4.62,18.88,4.62,18.88,0,10,11,2024
74,2024-11-11,2630.83,4.19,74.99,74,2630.83,16.12,13.09,4.19,74.99,4.19,74.99,0,11,11,2024
75,2024-11-12,1010.11,1.67,72.3,75,1010.11,6.19,5.03,1.67,72.3,1.67,72.3,0,12,11,2024
76,2024-11-13,1302.58,2.03,76.65,76,1302.58,7.98,6.48,2.03,76.65,2.03,76.65,0,13,11,2024
77,2024-11-14,3011.87,4.95,72.69,77,3011.87,18.46,14.99,4.95,72.69,4.95,72.69,0,14,11,2024
78,2024-11-15,2153.04,3.9,65.92,78,2153.04,13.19,10.72,3.9,65.92,3.9,65.92,0,15,11,2024
79,2024-11-16,1451.73,4.31,40.2,79,1451.73,8.9,7.23,4.31,40.2,4.31,40.2,0,16,11,2024
80,2024-11-17,933.26,4.57,24.39,80,933.26,5.72,4.65,4.57,24.39,4.57,24.39,0,17,11,2024
81,2024-11-18,2885.2,4.45,77.47,81,2885.2,17.68,14.36,4.45,77.47,4.45,77.47,0,18,11,2024
82,2024-11-19,2673.68,4.16,76.82,82,2673.68,16.38,13.31,4.16,76.82,4.16,76.82,0,19,11,2024
83,2024-11-20,2297.96,3.59,76.55,83,2297.96,14.08,11.44,3.59,76.55,3.59,76.55,0,20,11,2024
84,2024-11-21,2224.62,3.52,75.43,84,2224.62,13.63,11.07,3.52,75.43,3.52,75.43,0,21,11,2024
85,2024-11-22,2012.82,5.06,47.49,85,2012.82,12.33,10.02,5.06,47.49,5.06,47.49,0,22,11,2024
86,2024-11-23,2122.07,3.32,76.36,86,2122.07,13.0,10.56,3.32,76.36,3.32,76.36,0,23,11,2024
87,2024-11-24,947.85,3.67,30.87,87,947.85,5.81,4.72,3.67,30.87,3.67,30.87,0,24,11,2024
88,2024-11-25,1444.73,2.28,75.6,88,1444.73,8.85,7.19,2.28,75.6,2.28,75.6,0,25,11,2024
89,2024-11-26,303.54,0.55,66.29,89,303.54,1.86,1.51,0.55,66.29,0.55,66.29,0,26,11,2024
90,2024-11-27,1125.29,1.77,75.82,90,1125.29,6.9,5.6,1.77,75.82,1.77,75.82,0,27,11,2024
91,2024-11-28,1292.42,2.01,76.77,91,1292.42,7.92,6.43,2.01,76.77,2.01,76.77,0,28,11,2024
92,2024-11-29,538.09,0.89,72.06,92,538.09,3.3,2.68,0.89,72.06,0.89,72.06,0,29,11,2024
93,2024-11-30,4.43,0.14,-,93,4.43,0.03,0.02,0.14,-,1.45,-,0,30,11,2024
94,2024-12-01,37.07,1.54,-,94,37.07,0.23,0.18,1.54,-,1.17,-,0,1,12,2024
95,2024-12-02,1314.95,2.47,63.6,95,1314.95,8.06,6.55,2.47,63.6,2.47,63.6,0,2,12,2024
96,2024-12-03,2911.68,4.64,75.03,96,2911.68,17.84,14.49,4.64,75.03,4.64,75.03,0,3,12,2024
97,2024-12-04,2654.04,4.27,74.25,97,2654.04,16.26,13.21,4.27,74.25,4.27,74.25,0,4,12,2024
98,2024-12-05,1799.31,3.73,57.56,98,1799.31,11.03,8.96,3.73,57.56,3.73,57.56,0,5,12,2024
99,2024-12-06,1991.94,3.8,62.6,99,1991.94,12.21,9.91,3.8,62.6,3.8,62.6,0,6,12,2024
100,2024-12-07,2702.56,4.93,65.55,100,2702.56,16.56,13.45,4.93,65.55,4.93,65.55,0,7,12,2024
101,2024-12-08,1213.72,4.7,30.82,101,1213.72,7.44,6.04,4.7,30.82,4.7,30.82,0,8,12,2024
102,2024-12-09,2204.98,3.45,76.26,102,2204.98,13.51,10.98,3.45,76.26,3.45,76.26,0,9,12,2024
103,2024-12-10,1828.03,2.95,73.93,103,1828.03,11.2,9.1,2.95,73.93,2.95,73.93,0,10,12,2024
104,2024-12-11,589.79,0.97,72.71,104,589.79,3.61,2.94,0.97,72.71,0.97,72.71,0,11,12,2024
105,2024-12-12,386.33,0.68,67.67,105,386.33,2.37,1.92,0.68,67.67,0.68,67.67,0,12,12,2024
106,2024-12-13,1614.81,2.78,69.47,106,1614.81,9.89,8.04,2.78,69.47,2.78,69.47,0,13,12,2024
107,2024-12-14,1997.76,4.2,56.84,107,1997.76,12.24,9.94,4.2,56.84,4.2,56.84,0,14,12,2024
108,2024-12-15,2372.88,4.37,64.87,108,2372.88,14.54,11.81,4.37,64.87,4.37,64.87,0,15,12,2024
109,2024-12-16,3074.0,4.77,77.07,109,3074.0,18.84,15.3,4.77,77.07,4.77,77.07,0,16,12,2024
110,2024-12-17,1269.28,1.98,76.54,110,1269.28,7.78,6.32,1.98,76.54,1.98,76.54,0,17,12,2024
111,2024-12-18,873.93,1.39,75.32,111,873.93,5.35,4.35,1.39,75.32,1.39,75.32,0,18,12,2024
112,2024-12-19,1389.09,2.15,77.04,112,1389.09,8.51,6.91,2.15,77.04,2.15,77.04,0,19,12,2024
113,2024-12-20,1933.79,3.06,75.47,113,1933.79,11.85,9.63,3.06,75.47,3.06,75.47,0,20,12,2024
114,2024-12-21,2738.74,4.4,74.36,114,2738.74,16.78,13.63,4.4,74.36,4.4,74.36,0,21,12,2024
115,2024-12-22,1084.78,4.4,29.48,115,1084.78,6.65,5.4,4.4,29.48,4.4,29.48,0,22,12,2024
