no._x,date,day_gen_kwh,radiation_sensor-day_ins_kwh/m2/day_x,radiation_sensor-day_pr_%_x,no._y,day_gen__kwh,cuf_on_ac_capacity_%,cuf_on_dc_capacity_%,radiation_sensor-day_ins_kwh/m2/day_y,radiation_sensor-day_pr_%_y,adj_radiation_sensor-day_ins_kwh/m2/day,adj_radiation_sensor-day_pr_%,hour,day,month,year
219,2025-04-05,2709.06,4.5,71.87,219,2709.06,16.6,13.48,4.5,71.87,4.5,71.87,0,5,4,2025
220,2025-04-06,3215.77,5.82,66.05,220,3215.77,19.7,16.01,5.82,66.05,5.82,66.05,0,6,4,2025
221,2025-04-07,3448.52,5.78,71.29,221,3448.52,21.13,17.17,5.78,71.29,5.78,71.29,0,7,4,2025
222,2025-04-08,3776.68,6.15,73.3,222,3776.68,23.14,18.8,6.15,73.3,6.15,73.3,0,8,4,2025
223,2025-04-09,3685.39,6.05,72.81,223,3685.39,22.58,18.34,6.05,72.81,6.05,72.81,0,9,4,2025
224,2025-04-10,1838.71,5.76,38.12,224,1838.71,11.27,9.15,5.76,38.12,5.76,38.12,0,10,4,2025
225,2025-04-11,3324.92,5.37,73.97,225,3324.92,20.37,16.55,5.37,73.97,5.37,73.97,0,11,4,2025
226,2025-04-12,3731.42,6.06,73.52,226,3731.42,22.86,18.57,6.06,73.52,6.06,73.52,0,12,4,2025
227,2025-04-13,1454.78,5.34,32.56,227,1454.78,8.91,7.24,5.34,32.56,5.34,32.56,0,13,4,2025
228,2025-04-14,2588.86,5.07,60.96,228,2588.86,15.86,12.89,5.07,60.96,5.07,60.96,0,14,4,2025
229,2025-04-15,3412.53,5.69,71.62,229,3412.53,20.91,16.99,5.69,71.62,5.69,71.62,0,15,4,2025
230,2025-04-16,2075.81,3.45,71.94,230,2075.81,12.72,10.33,3.45,71.94,3.45,71.94,0,16,4,2025
231,2025-04-17,3622.54,5.95,72.76,231,3622.54,22.2,18.03,5.95,72.76,5.95,72.76,0,17,4,2025
232,2025-04-18,3472.19,5.61,73.96,232,3472.19,21.28,17.28,5.61,73.96,5.61,73.96,0,18,4,2025
233,2025-04-19,3560.46,5.89,72.25,233,3560.46,21.82,17.72,5.89,72.25,5.89,72.25,0,19,4,2025
234,2025-04-20,3201.02,6.19,61.76,234,3201.02,19.61,15.93,6.19,61.76,6.19,61.76,0,20,4,2025
235,2025-04-21,3258.64,5.68,68.53,235,3258.64,19.97,16.22,5.68,68.53,5.68,68.53,0,21,4,2025
236,2025-04-22,1734.96,3.78,54.87,236,1734.96,10.63,8.64,3.78,54.87,3.78,54.87,0,22,4,2025
237,2025-04-23,3987.66,6.67,71.44,237,3987.66,24.43,19.85,6.67,71.44,6.67,71.44,0,23,4,2025
238,2025-04-24,3859.2,6.5,70.92,238,3859.2,23.65,19.21,6.5,70.92,6.5,70.92,0,24,4,2025
239,2025-04-25,3861.34,6.62,69.68,239,3861.34,23.66,19.22,6.62,69.68,6.62,69.68,0,25,4,2025
240,2025-04-26,4001.21,6.64,71.93,240,4001.21,24.52,19.92,6.64,71.93,6.64,71.93,0,26,4,2025
241,2025-04-27,3612.61,6.25,69.08,241,3612.61,22.14,17.98,6.25,69.08,6.25,69.08,0,27,4,2025
242,2025-04-28,2912.16,4.92,70.71,242,2912.16,17.84,14.5,4.92,70.71,4.92,70.71,0,28,4,2025
243,2025-04-29,3527.82,5.78,72.93,243,3527.82,21.62,17.56,5.78,72.93,5.78,72.93,0,29,4,2025
244,2025-04-30,3425.93,5.52,74.18,244,3425.93,20.99,17.05,5.52,74.18,5.52,74.18,0,30,4,2025
245,2025-05-01,2108.72,5.76,43.76,245,2108.72,12.92,10.5,5.76,43.76,5.76,43.76,0,1,5,2025
246,2025-05-02,3581.98,5.85,73.21,246,3581.98,21.95,17.83,5.85,73.21,5.85,73.21,0,2,5,2025
247,2025-05-03,3664.67,5.89,74.38,247,3664.67,22.46,18.24,5.89,74.38,5.89,74.38,0,3,5,2025
248,2025-05-04,3344.76,5.23,76.47,248,3344.76,20.49,16.65,5.23,76.47,5.23,76.47,0,4,5,2025
249,2025-05-05,3490.03,5.59,74.64,249,3490.03,21.39,17.37,5.59,74.64,5.59,74.64,0,5,5,2025
250,2025-05-06,3710.13,6.1,72.67,250,3710.13,22.73,18.47,6.1,72.67,6.1,72.67,0,6,5,2025
251,2025-05-07,3685.07,5.82,75.61,251,3685.07,22.58,18.34,5.82,75.61,5.82,75.61,0,7,5,2025
252,2025-05-08,3682.91,5.86,75.07,252,3682.91,22.57,18.33,5.86,75.07,5.86,75.07,0,8,5,2025
253,2025-05-09,3888.19,6.19,75.07,253,3888.19,23.82,19.35,6.19,75.07,6.19,75.07,0,9,5,2025
254,2025-05-10,3511.56,5.62,74.71,254,3511.56,21.52,17.48,5.62,74.71,5.62,74.71,0,10,5,2025
255,2025-05-11,1808.84,4.12,52.5,255,1808.84,11.08,9.0,4.12,52.5,4.12,52.5,0,11,5,2025
256,2025-05-12,3528.94,5.57,75.66,256,3528.94,21.62,17.57,5.57,75.66,5.57,75.66,0,12,5,2025
257,2025-05-13,3082.69,4.88,75.4,257,3082.69,18.89,15.34,4.88,75.4,4.88,75.4,0,13,5,2025
258,2025-05-14,3572.66,5.76,74.11,258,3572.66,21.89,17.78,5.76,74.11,5.76,74.11,0,14,5,2025
259,2025-05-15,3590.23,5.84,73.45,259,3590.23,22.0,17.87,5.84,73.45,5.84,73.45,0,15,5,2025
260,2025-05-16,3458.89,5.5,75.2,260,3458.89,21.19,17.22,5.5,75.2,5.5,75.2,0,16,5,2025
261,2025-05-17,1947.16,3.11,74.75,261,1947.16,11.93,9.69,3.11,74.75,3.11,74.75,0,17,5,2025
262,2025-05-18,2411.15,4.1,70.22,262,2411.15,14.77,12.0,4.1,70.22,4.1,70.22,0,18,5,2025
263,2025-05-19,1724.57,2.77,74.45,263,1724.57,10.57,8.58,2.77,74.45,2.77,74.45,0,19,5,2025
264,2025-05-20,1753.53,2.79,75.14,264,1753.53,10.74,8.73,2.79,75.14,2.79,75.14,0,20,5,2025
265,2025-05-21,3012.91,4.83,74.49,265,3012.91,18.46,15.0,4.83,74.49,4.83,74.49,0,21,5,2025
266,2025-05-22,2621.77,5.39,58.13,266,2621.77,16.06,13.05,5.39,58.13,5.39,58.13,0,22,5,2025
267,2025-05-23,4010.27,6.43,74.56,267,4010.27,24.57,19.96,6.43,74.56,6.43,74.56,0,23,5,2025
268,2025-05-24,2787.96,4.57,72.85,268,2787.96,17.08,13.88,4.57,72.85,4.57,72.85,0,24,5,2025
269,2025-05-25,2349.16,4.66,60.27,269,2349.16,14.39,11.69,4.66,60.27,4.66,60.27,0,25,5,2025
270,2025-05-26,2441.7,3.86,75.61,270,2441.7,14.96,12.15,3.86,75.61,3.86,75.61,0,26,5,2025
271,2025-05-27,2526.66,4.19,72,271,2526.66,15.48,12.58,4.19,72,4.19,72,0,27,5,2025
272,2025-05-28,2855.74,4.47,76.37,272,2855.74,17.5,14.21,4.47,76.37,4.47,76.37,0,28,5,2025
273,2025-05-29,1691.81,5.29,38.24,273,1691.81,10.37,8.42,5.29,38.24,5.29,38.24,0,29,5,2025
274,2025-05-30,1841.39,2.98,73.92,274,1841.39,11.28,9.17,2.98,73.92,2.98,73.92,0,30,5,2025
275,2025-05-31,2563.53,5.48,55.87,275,2563.53,15.71,12.76,5.48,55.87,5.48,55.87,0,31,5,2025
276,2025-06-01,1527.48,6.31,28.91,276,1527.48,9.36,7.6,6.31,28.91,6.31,28.91,0,1,6,2025
277,2025-06-02,4225.81,6.2,81.47,277,4225.81,25.89,21.03,6.2,81.47,6.2,81.47,0,2,6,2025
278,2025-06-03,3697.51,5.91,74.79,278,3697.51,22.66,18.4,5.91,74.79,5.91,74.79,0,3,6,2025
279,2025-06-04,3847.85,6.0,76.66,279,3847.85,23.58,19.15,6.0,76.66,6.0,76.66,0,4,6,2025
280,2025-06-05,3884.99,6.16,75.29,280,3884.99,23.81,19.34,6.16,75.29,6.16,75.29,0,5,6,2025
281,2025-06-06,3520.7,5.96,70.57,281,3520.7,21.57,17.52,5.96,70.57,5.96,70.57,0,6,6,2025
282,2025-06-07,2175.37,4.89,53.13,282,2175.37,13.33,10.83,4.89,53.13,4.89,53.13,0,7,6,2025
283,2025-06-08,1685.4,5.41,37.24,283,1685.4,10.33,8.39,5.41,37.24,5.41,37.24,0,8,6,2025
284,2025-06-09,3219.66,5.0,76.95,284,3219.66,19.73,16.03,5.0,76.95,5.0,76.95,0,9,6,2025
285,2025-06-10,3457.23,5.31,77.76,285,3457.23,21.18,17.21,5.31,77.76,5.31,77.76,0,10,6,2025
286,2025-06-11,2427.58,3.81,76.08,286,2427.58,14.87,12.08,3.81,76.08,3.81,76.08,0,11,6,2025
287,2025-06-12,3213.57,5.1,75.29,287,3213.57,19.69,16.0,5.1,75.29,5.1,75.29,0,12,6,2025
288,2025-06-13,3672.18,5.83,75.3,288,3672.18,22.5,18.28,5.83,75.3,5.83,75.3,0,13,6,2025
289,2025-06-14,3915.22,6.19,75.52,289,3915.22,23.99,19.49,6.19,75.52,6.19,75.52,0,14,6,2025
290,2025-06-15,1027.91,5.25,23.38,290,1027.91,6.3,5.12,5.25,23.38,5.25,23.38,0,15,6,2025
291,2025-06-16,5048.37,4.61,-,291,5048.37,30.93,25.13,4.61,-,5.72,-,0,16,6,2025
292,2025-06-17,3535.21,5.54,76.22,292,3535.21,21.66,17.6,5.54,76.22,5.54,76.22,0,17,6,2025
293,2025-06-18,3886.84,6.11,75.97,293,3886.84,23.82,19.35,6.11,75.97,6.11,75.97,0,18,6,2025
294,2025-06-19,3398.57,5.35,75.83,294,3398.57,20.82,16.92,5.35,75.83,5.35,75.83,0,19,6,2025
295,2025-06-20,3989.56,6.37,74.82,295,3989.56,24.45,19.86,6.37,74.82,6.37,74.82,0,20,6,2025
296,2025-06-21,1677.8,4.0,50.11,296,1677.8,10.28,8.35,4.0,50.11,4.0,50.11,0,21,6,2025
297,2025-06-22,868.51,4.16,24.93,297,868.51,5.32,4.32,4.16,24.93,4.16,24.93,0,22,6,2025
298,2025-06-23,782.72,3.24,28.84,298,782.72,4.8,3.9,3.24,28.84,3.24,28.84,0,23,6,2025
299,2025-06-24,6397.4,4.64,-,299,6397.4,39.2,31.84,4.64,-,3.7,-,0,24,6,2025
300,2025-06-25,2153.1,3.39,75.96,300,2153.1,13.19,10.72,3.39,75.96,3.39,75.96,0,25,6,2025
301,2025-06-26,3089.11,4.87,75.84,301,3089.11,18.93,15.38,4.87,75.84,4.87,75.84,0,26,6,2025
302,2025-06-27,3982.25,6.25,76.1,302,3982.25,24.4,19.82,6.25,76.1,6.25,76.1,0,27,6,2025
303,2025-06-28,3358.72,5.32,75.36,303,3358.72,20.58,16.72,5.32,75.36,5.32,75.36,0,28,6,2025
304,2025-06-29,3627.76,5.99,72.39,304,3627.76,22.23,18.06,5.99,72.39,5.99,72.39,0,29,6,2025
305,2025-06-30,3118.96,4.92,75.76,305,3118.96,19.11,15.52,4.92,75.76,4.92,75.76,0,30,6,2025
306,2025-07-01,2986.4,4.87,73.26,306,2986.4,18.3,14.86,4.87,73.26,4.87,73.26,0,1,7,2025
307,2025-07-02,2449.32,3.89,75.12,307,2449.32,15.01,12.19,3.89,75.12,3.89,75.12,0,2,7,2025
308,2025-07-03,2157.62,3.44,74.95,308,2157.62,13.22,10.74,3.44,74.95,3.44,74.95,0,3,7,2025
309,2025-07-04,2844.13,4.46,76.2,309,2844.13,17.43,14.16,4.46,76.2,4.46,76.2,0,4,7,2025
310,2025-07-05,3779.54,6.01,75.16,310,3779.54,23.16,18.81,6.01,75.16,6.01,75.16,0,5,7,2025
311,2025-07-06,3491.1,5.55,75.21,311,3491.1,21.39,17.38,5.55,75.21,5.55,75.21,0,6,7,2025
312,2025-07-07,3428.56,5.44,75.22,312,3428.56,21.01,17.07,5.44,75.22,5.44,75.22,0,7,7,2025
313,2025-07-08,3524.15,5.49,76.66,313,3524.15,21.59,17.54,5.49,76.66,5.49,76.66,0,8,7,2025
314,2025-07-09,3680.96,5.68,77.46,314,3680.96,22.55,18.32,5.68,77.46,5.68,77.46,0,9,7,2025
315,2025-07-10,3431.03,5.49,74.64,315,3431.03,21.02,17.08,5.49,74.64,5.49,74.64,0,10,7,2025
316,2025-07-11,3616.44,5.59,77.27,316,3616.44,22.16,18.0,5.59,77.27,5.59,77.27,0,11,7,2025
317,2025-07-12,3708.32,5.75,77.07,317,3708.32,22.72,18.46,5.75,77.07,5.75,77.07,0,12,7,2025
318,2025-07-13,2369.23,5.66,50,318,2369.23,14.52,11.79,5.66,50,5.66,50,0,13,7,2025
319,2025-07-14,3581.08,5.54,77.21,319,3581.08,21.94,17.82,5.54,77.21,5.54,77.21,0,14,7,2025
320,2025-07-15,3365.32,5.21,77.22,320,3365.32,20.62,16.75,5.21,77.22,5.21,77.22,0,15,7,2025
321,2025-07-16,3814.23,5.9,77.28,321,3814.23,23.37,18.99,5.9,77.28,5.9,77.28,0,16,7,2025
322,2025-07-17,2823.7,5.1,66.19,322,2823.7,17.3,14.05,5.1,66.19,5.1,66.19,0,17,7,2025
323,2025-07-18,2878.0,4.42,77.85,323,2878.0,17.63,14.33,4.42,77.85,4.42,77.85,0,18,7,2025
324,2025-07-19,2195.34,3.42,76.57,324,2195.34,13.45,10.93,3.42,76.57,3.42,76.57,0,19,7,2025
325,2025-07-20,1592.14,2.72,69.95,325,1592.14,9.76,7.92,2.72,69.95,2.72,69.95,0,20,7,2025
326,2025-07-21,1870.06,2.77,80.62,326,1870.06,11.46,9.31,2.77,80.62,2.77,80.62,0,21,7,2025
327,2025-07-22,1880.47,3.22,69.76,327,1880.47,11.52,9.36,3.22,69.76,3.22,69.76,0,22,7,2025
328,2025-07-23,2113.3,3.33,75.86,328,2113.3,12.95,10.52,3.33,75.86,3.33,75.86,0,23,7,2025
329,2025-07-24,2451.31,4.15,70.53,329,2451.31,15.02,12.2,4.15,70.53,4.15,70.53,0,24,7,2025
330,2025-07-25,1676.12,2.68,74.71,330,1676.12,10.27,8.34,2.68,74.71,2.68,74.71,0,25,7,2025
331,2025-07-26,2876.22,4.49,76.52,331,2876.22,17.62,14.32,4.49,76.52,4.49,76.52,0,26,7,2025
332,2025-07-27,3474.11,5.64,73.61,332,3474.11,21.29,17.29,5.64,73.61,5.64,73.61,0,27,7,2025
333,2025-07-28,3305.08,5.29,74.64,333,3305.08,20.25,16.45,5.29,74.64,5.29,74.64,0,28,7,2025
334,2025-07-29,3375.08,6.03,66.86,334,3375.08,20.68,16.8,6.03,66.86,6.03,66.86,0,29,7,2025
335,2025-07-30,3446.65,5.86,70.31,335,3446.65,21.12,17.16,5.86,70.31,5.86,70.31,0,30,7,2025
336,2025-07-31,3132.35,5.36,69.76,336,3132.35,19.19,15.59,5.36,69.76,5.36,69.76,0,31,7,2025
337,2025-08-01,3417.57,5.84,69.88,337,3417.57,20.94,17.01,5.84,69.88,5.84,69.88,0,1,8,2025
338,2025-08-02,3663.39,5.87,74.55,338,3663.39,22.45,18.23,5.87,74.55,5.87,74.55,0,2,8,2025
339,2025-08-03,2698.44,4.25,75.87,339,2698.44,16.53,13.43,4.25,75.87,4.25,75.87,0,3,8,2025
340,2025-08-04,3302.84,5.54,71.26,340,3302.84,20.24,16.44,5.54,71.26,5.54,71.26,0,4,8,2025
341,2025-08-05,2936.73,5.43,64.58,341,2936.73,17.99,14.62,5.43,64.58,5.43,64.58,0,5,8,2025
342,2025-08-06,2891.71,5.71,60.45,342,2891.71,17.72,14.39,5.71,60.45,5.71,60.45,0,6,8,2025
343,2025-08-07,3446.09,5.8,70.97,343,3446.09,21.12,17.15,5.8,70.97,5.8,70.97,0,7,8,2025
344,2025-08-08,2117.52,3.79,66.83,344,2117.52,12.98,10.54,3.79,66.83,3.79,66.83,0,8,8,2025
345,2025-08-09,1898.75,3.04,74.64,345,1898.75,11.63,9.45,3.04,74.64,3.04,74.64,0,9,8,2025
346,2025-08-10,2780.0,4.83,68.83,346,2780.0,17.03,13.84,4.83,68.83,4.83,68.83,0,10,8,2025
347,2025-08-11,2550.27,4.41,69,347,2550.27,15.63,12.69,4.41,69,4.41,69,0,11,8,2025
348,2025-08-12,1394.84,2.27,73.53,348,1394.84,8.55,6.94,2.27,73.53,2.27,73.53,0,12,8,2025
349,2025-08-13,1357.58,2.26,71.82,349,1357.58,8.32,6.76,2.26,71.82,2.26,71.82,0,13,8,2025
350,2025-08-14,2717.09,4.24,76.61,350,2717.09,16.65,13.52,4.24,76.61,4.24,76.61,0,14,8,2025
351,2025-08-15,2672.24,5.52,57.83,351,2672.24,16.37,13.3,5.52,57.83,5.52,57.83,0,15,8,2025
352,2025-08-16,2081.06,3.73,66.65,352,2081.06,12.75,10.36,3.73,66.65,3.73,66.65,0,16,8,2025
353,2025-08-17,1795.2,2.85,75.33,353,1795.2,11.0,8.94,2.85,75.33,2.85,75.33,0,17,8,2025
354,2025-08-18,2583.65,4.07,75.76,354,2583.65,15.83,12.86,4.07,75.76,4.07,75.76,0,18,8,2025
355,2025-08-19,3011.24,4.92,73.1,355,3011.24,18.45,14.99,4.92,73.1,4.92,73.1,0,19,8,2025
356,2025-08-20,4003.16,6.51,73.44,356,4003.16,24.53,19.93,6.51,73.44,6.51,73.44,0,20,8,2025
357,2025-08-21,3746.86,3.77,-,357,3746.86,22.96,18.65,3.77,-,5.72,78.3,0,21,8,2025
358,2025-08-22,3389.88,5.5,73.66,358,3389.88,20.77,16.87,5.5,73.66,5.5,73.66,0,22,8,2025
359,2025-08-23,2503.01,4.29,69.76,359,2503.01,15.34,12.46,4.29,69.76,4.29,69.76,0,23,8,2025
360,2025-08-24,4107.21,6.67,73.51,360,4107.21,25.17,20.44,6.67,73.51,6.67,73.51,0,24,8,2025
361,2025-08-25,3363.65,5.5,73.02,361,3363.65,20.61,16.74,5.5,73.02,5.5,73.02,0,25,8,2025
362,2025-08-26,3138.41,5.18,72.43,362,3138.41,19.23,15.62,5.18,72.43,5.18,72.43,0,26,8,2025
363,2025-08-27,2696.92,4.36,73.96,363,2696.92,16.53,13.42,4.36,73.96,4.36,73.96,0,27,8,2025
364,2025-08-28,2496.8,3.89,76.73,364,2496.8,15.3,12.43,3.89,76.73,3.89,76.73,0,28,8,2025
365,2025-08-29,3993.89,6.51,73.28,365,3993.89,24.47,19.88,6.51,73.28,6.51,73.28,0,29,8,2025
366,2025-08-30,3596.39,6.19,69.41,366,3596.39,22.04,17.9,6.19,69.41,6.19,69.41,0,30,8,2025
367,2025-08-31,2569.07,4.1,74.84,367,2569.07,15.74,12.79,4.1,74.84,4.1,74.84,0,31,8,2025
368,2025-09-01,2004.93,3.13,76.57,368,2004.93,12.29,9.98,3.13,76.57,3.13,76.57,0,1,9,2025
369,2025-09-02,3273.88,5.12,76.43,369,3273.88,20.06,16.3,5.12,76.43,5.12,76.43,0,2,9,2025
370,2025-09-03,2346.88,3.85,72.84,370,2346.88,14.38,11.68,3.85,72.84,3.85,72.84,0,3,9,2025
371,2025-09-04,3183.33,5.11,74.4,371,3183.33,19.51,15.85,5.11,74.4,5.11,74.4,0,4,9,2025
372,2025-09-05,3077.36,5.28,69.63,372,3077.36,18.86,15.32,5.28,69.63,5.28,69.63,0,5,9,2025
373,2025-09-06,3381.26,6.43,62.78,373,3381.26,20.72,16.83,6.43,62.78,6.43,62.78,0,6,9,2025
374,2025-09-07,1959.74,5.73,40.89,374,1959.74,12.01,9.75,5.73,40.89,5.73,40.89,0,7,9,2025
375,2025-09-08,3530.87,6.02,70.08,375,3530.87,21.64,17.57,6.02,70.08,6.02,70.08,0,8,9,2025
376,2025-09-09,3605.88,6.0,71.79,376,3605.88,22.09,17.95,6.0,71.79,6.0,71.79,0,9,9,2025
377,2025-09-10,3624.8,6.13,70.7,377,3624.8,22.21,18.04,6.13,70.7,6.13,70.7,0,10,9,2025
378,2025-09-11,2840.51,4.59,73.88,378,2840.51,17.41,14.14,4.59,73.88,4.59,73.88,0,11,9,2025
379,2025-09-12,2893.58,4.65,74.29,379,2893.58,17.73,14.4,4.65,74.29,4.65,74.29,0,12,9,2025
380,2025-09-13,1096.94,1.8,72.96,380,1096.94,6.72,5.46,1.8,72.96,1.8,72.96,0,13,9,2025
381,2025-09-14,229.7,5.5,-,381,229.7,1.41,1.14,5.5,-,3.22,-,0,14,9,2025
382,2025-09-15,2994.44,5.89,60.74,382,2994.44,18.35,14.9,5.89,60.74,5.89,60.74,0,15,9,2025
383,2025-09-16,2582.01,4.33,71.28,383,2582.01,15.82,12.85,4.33,71.28,4.33,71.28,0,16,9,2025
384,2025-09-17,3229.88,5.46,70.71,384,3229.88,19.79,16.08,5.46,70.71,5.46,70.71,0,17,9,2025
385,2025-09-18,3877.41,6.4,72.4,385,3877.41,23.76,19.3,6.4,72.4,6.4,72.4,0,18,9,2025
386,2025-09-19,1925.65,3.04,75.75,386,1925.65,11.8,9.58,3.04,75.75,3.04,75.75,0,19,9,2025
387,2025-09-20,2332.41,4.01,69.45,387,2332.41,14.29,11.61,4.01,69.45,4.01,69.45,0,20,9,2025
388,2025-09-21,2031.56,3.33,72.97,388,2031.56,12.45,10.11,3.33,72.97,3.33,72.97,0,21,9,2025
389,2025-09-22,2974.71,4.77,74.58,389,2974.71,18.23,14.81,4.77,74.58,4.77,74.58,0,22,9,2025
390,2025-09-23,2646.86,4.32,73.24,390,2646.86,16.22,13.17,4.32,73.24,4.32,73.24,0,23,9,2025
391,2025-09-24,3126.35,5.24,71.22,391,3126.35,19.16,15.56,5.24,71.22,5.24,71.22,0,24,9,2025
392,2025-09-25,3906.7,6.63,70.36,392,3906.7,23.94,19.45,6.63,70.36,6.63,70.36,0,25,9,2025
393,2025-09-26,3188.31,5.33,71.51,393,3188.31,19.54,15.87,5.33,71.51,5.33,71.51,0,26,9,2025
394,2025-09-27,3591.45,6.14,69.85,394,3591.45,22.01,17.88,6.14,69.85,6.14,69.85,0,27,9,2025
395,2025-09-28,3300.38,5.7,69.21,395,3300.38,20.22,16.43,5.7,69.21,5.7,69.21,0,28,9,2025
396,2025-09-29,2218.02,3.63,73.07,396,2218.02,13.59,11.04,3.63,73.07,3.63,73.07,0,29,9,2025
397,2025-09-30,2432.53,3.88,74.8,397,2432.53,14.91,12.11,3.88,74.8,3.88,74.8,0,30,9,2025
398,2025-10-01,2062.84,3.42,71.97,398,2062.84,12.64,10.27,3.42,71.97,3.42,71.97,0,1,10,2025
399,2025-10-02,1337.91,4.56,35.06,399,1337.91,8.2,6.66,4.56,35.06,4.56,35.06,0,2,10,2025
400,2025-10-03,2366.94,3.91,72.35,400,2366.94,14.5,11.78,3.91,72.35,3.91,72.35,0,3,10,2025
401,2025-10-04,3931.26,6.83,68.78,401,3931.26,24.09,19.57,6.83,68.78,6.83,68.78,0,4,10,2025
402,2025-10-05,1600.76,6.06,31.53,402,1600.76,9.81,7.97,6.06,31.53,6.06,31.53,0,5,10,2025
403,2025-10-06,3010.24,5.0,71.95,403,3010.24,18.45,14.98,5.0,71.95,5.0,71.95,0,6,10,2025
404,2025-10-07,3441.72,5.8,70.92,404,3441.72,21.09,17.13,5.8,70.92,5.8,70.92,0,7,10,2025
405,2025-10-08,2709.37,4.71,68.79,405,2709.37,16.6,13.49,4.71,68.79,4.71,68.79,0,8,10,2025
406,2025-10-09,3349.21,5.58,71.77,406,3349.21,20.52,16.67,5.58,71.77,5.58,71.77,0,9,10,2025
407,2025-10-10,2855.56,4.62,73.85,407,2855.56,17.5,14.21,4.62,73.85,4.62,73.85,0,10,10,2025
408,2025-10-11,3143.18,5.18,72.45,408,3143.18,19.26,15.65,5.18,72.45,5.18,72.45,0,11,10,2025
409,2025-10-12,2623.52,4.2,74.69,409,2623.52,16.08,13.06,4.2,74.69,4.2,74.69,0,12,10,2025
410,2025-10-13,3229.36,5.27,73.19,410,3229.36,19.79,16.07,5.27,73.19,5.27,73.19,0,13,10,2025
411,2025-10-14,3024.3,5.38,67.1,411,3024.3,18.53,15.05,5.38,67.1,5.38,67.1,0,14,10,2025
412,2025-10-15,2288.38,3.86,70.8,412,2288.38,14.02,11.39,3.86,70.8,3.86,70.8,0,15,10,2025
413,2025-10-16,3097.26,5.23,70.72,413,3097.26,18.98,15.42,5.23,70.72,5.23,70.72,0,16,10,2025
414,2025-10-17,1977.06,3.28,72.05,414,1977.06,12.11,9.84,3.28,72.05,3.28,72.05,0,17,10,2025
415,2025-10-18,881.07,1.57,67.13,415,881.07,5.4,4.39,1.57,67.13,1.57,67.13,0,18,10,2025
416,2025-10-19,2099.84,3.44,72.84,416,2099.84,12.87,10.45,3.44,72.84,3.44,72.84,0,19,10,2025
417,2025-10-20,1836.74,3.23,67.97,417,1836.74,11.25,9.14,3.23,67.97,3.23,67.97,0,20,10,2025
418,2025-10-21,562.18,0.97,69.52,418,562.18,3.44,2.8,0.97,69.52,0.97,69.52,0,21,10,2025
419,2025-10-22,2381.83,4.07,69.93,419,2381.83,14.59,11.86,4.07,69.93,4.07,69.93,0,22,10,2025
420,2025-10-23,2825.98,4.8,70.26,420,2825.98,17.32,14.07,4.8,70.26,4.8,70.26,0,23,10,2025
421,2025-10-24,963.35,1.61,71.39,421,963.35,5.9,4.8,1.61,71.39,1.61,71.39,0,24,10,2025
422,2025-10-25,2285.96,3.65,74.88,422,2285.96,14.01,11.38,3.65,74.88,3.65,74.88,0,25,10,2025
423,2025-10-26,2209.41,3.52,74.96,423,2209.41,13.54,11.0,3.52,74.96,3.52,74.96,0,26,10,2025
424,2025-10-27,666.75,1.13,70.74,424,666.75,4.09,3.32,1.13,70.74,1.13,70.74,0,27,10,2025
425,2025-10-28,224.85,0.43,61.89,425,224.85,1.38,1.12,0.43,61.89,0.43,61.89,0,28,10,2025
426,2025-10-29,3552.23,6.11,69.51,426,3552.23,21.77,17.68,6.11,69.51,6.11,69.51,0,29,10,2025
427,2025-10-30,3747.44,6.47,69.23,427,3747.44,22.96,18.65,6.47,69.23,6.47,69.23,0,30,10,2025
428,2025-10-31,3691.37,6.38,69.13,428,3691.37,22.62,18.37,6.38,69.13,6.38,69.13,0,31,10,2025
429,2025-11-01,3222.86,5.48,70.2,429,3222.86,19.75,16.04,5.48,70.2,5.48,70.2,0,1,11,2025
430,2025-11-02,1739.72,5.7,36.45,430,1739.72,10.66,8.66,5.7,36.45,5.7,36.45,0,2,11,2025
431,2025-11-03,2495.6,4.15,71.84,431,2495.6,15.29,12.42,4.15,71.84,4.15,71.84,0,3,11,2025
432,2025-11-04,1689.79,2.87,70.24,432,1689.79,10.35,8.41,2.87,70.24,2.87,70.24,0,4,11,2025
433,2025-11-05,3310.42,5.61,70.56,433,3310.42,20.28,16.48,5.61,70.56,5.61,70.56,0,5,11,2025
434,2025-11-06,1684.26,2.77,72.66,434,1684.26,10.32,8.38,2.77,72.66,2.77,72.66,0,6,11,2025
435,2025-11-07,2314.49,3.85,71.89,435,2314.49,14.18,11.52,3.85,71.89,3.85,71.89,0,7,11,2025
436,2025-11-08,3074.99,5.57,65.99,436,3074.99,18.84,15.31,5.57,65.99,5.57,65.99,0,8,11,2025
437,2025-11-09,2050.91,4.13,59.39,437,2050.91,12.57,10.21,4.13,59.39,4.13,59.39,0,9,11,2025
438,2025-11-10,3565.8,4.72,90.23,438,3565.8,21.85,17.75,4.72,90.23,4.72,90.23,0,10,11,2025
439,2025-11-11,2305.44,3.85,71.57,439,2305.44,14.13,11.48,3.85,71.57,3.85,71.57,0,11,11,2025
440,2025-11-12,2467.48,4.66,63.27,440,2467.48,15.12,12.28,4.66,63.27,4.66,63.27,0,12,11,2025
441,2025-11-13,1421.0,2.06,82.28,441,1421.0,8.71,7.07,2.06,82.28,2.06,82.28,0,13,11,2025
