Model,MAE,RMSE,R2
Linear Regression,6.37492735888573,8.719170885574561,0.7366928255316756
Random Forest,0.23696832579185523,0.5185011464924905,0.9990688669199844
XGBoost,0.35520586371421814,0.685665522467172,0.9983717203140259
