datetime,zenith,elevation,azimuth,ghi,dni,dhi,poa_global,airmass,cell_temperature,dc_power
2023-01-01 00:00:00+05:30,169.31711502092725,-79.31711502092726,196.21963249798355,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 01:00:00+05:30,164.84911253561228,-74.84911253561228,134.1073106594971,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 02:00:00+05:30,152.62285183224455,-62.62285183224455,115.70312321669041,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 03:00:00+05:30,139.13015188915696,-49.13015188915697,110.5217025713929,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 04:00:00+05:30,125.36683659736275,-35.36683659736275,109.3142767136494,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 05:00:00+05:30,111.58672908109304,-21.586729081093043,109.97618761095174,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 06:00:00+05:30,97.92387081943193,-7.92387081943193,111.93463097971778,0.0,0.0,0.0,0.0,,30.0,0.0
2023-01-01 07:00:00+05:30,84.50946370082085,5.490536299179155,115.1531378463743,34.38768623087439,153.53481248032986,19.301053507909323,48.09035394195998,9.5344811478662,31.55440066209882,11.707385037772248
2023-01-01 08:00:00+05:30,71.53036912378109,18.469630876218915,119.9388670080765,256.60429735646534,592.9531080231692,68.27340984028672,314.3952861852013,3.130000151649537,40.162042924384174,73.83194672193626
2023-01-01 09:00:00+05:30,59.30657386659679,30.69342613340321,126.99055641436354,483.3202734792493,765.1683381806793,92.42269339701221,562.4087592300552,1.9537689738532793,48.17845942187184,127.56642120319468
2023-01-01 10:00:00+05:30,48.438932502921645,41.561067497078355,137.55603492226226,666.9597564190193,843.5426683803305,107.1310000046409,757.9489552149664,1.5052853267615451,54.49880820684258,167.1286479432786
2023-01-01 11:00:00+05:30,40.06616376641098,49.93383623358902,153.35161983709713,790.2531231571895,881.0301289400121,115.86017460236496,887.8975285229104,1.305485953113256,58.69907149940327,192.05305983289063
2023-01-01 12:00:00+05:30,35.986695987655786,54.013304012344214,174.84979329339876,843.4766235757046,894.670389516675,119.43960058702578,943.763418849805,1.2349118753805228,60.504796968125525,202.43272614024494
2023-01-01 13:00:00+05:30,37.628690552560904,52.371309447439096,197.81644025403963,822.6283676753151,889.4840734963516,118.04905767824687,921.878511699112,1.2616167450605325,59.79742196718325,198.39063235070512
2023-01-01 14:00:00+05:30,44.36002344466335,45.63997655533665,216.27289289409651,729.2619229470598,863.6311473201232,111.6274485404341,823.6773998819432,1.397127243056842,56.62331612858466,179.87193916604846
2023-01-01 15:00:00+05:30,54.31503809116397,35.68496190883603,228.92732596226398,570.5281443512501,806.6306931748113,99.73242981705147,655.5853370388361,1.7109979252449448,51.1901597394214,146.72644955983952
2023-01-01 16:00:00+05:30,66.04301015550195,23.956989844498054,237.33405316727033,359.84258134587634,686.862803521915,80.53341940495977,428.6182089096294,2.4510875193323907,43.85401381160193,99.07337859672111
2023-01-01 17:00:00+05:30,78.74343846874433,11.256561531255672,243.00445302754463,123.79329862566983,396.5504634341626,45.84300001936195,160.78871823435944,5.001244551625817,35.19709400315807,38.5576018841068
