datetime,zenith,azimuth,ghi,dni,dhi,airmass,optimal_tilt,max_power,month,hour
2023-01-01 07:00:00+05:30,84.50946370082085,115.1531378463743,34.38768623087439,153.53481248032986,19.301053507909323,9.5344811478662,40,17.245811582480776,1,7
2023-01-01 08:00:00+05:30,71.53036912378109,119.9388670080765,256.60429735646534,592.9531080231692,68.27340984028672,3.130000151649537,40,91.09800348294448,1,8
2023-01-01 09:00:00+05:30,59.30657386659679,126.99055641436354,483.3202734792493,765.1683381806793,92.42269339701221,1.9537689738532793,40,145.4759227437677,1,9
2023-01-01 10:00:00+05:30,48.438932502921645,137.55603492226226,666.9597564190193,843.5426683803305,107.1310000046409,1.5052853267615451,40,183.4108862726816,1,10
2023-01-01 11:00:00+05:30,40.06616376641098,153.35161983709713,790.2531231571895,881.0301289400121,115.86017460236496,1.305485953113256,38,206.85309845217455,1,11
2023-01-01 12:00:00+05:30,35.986695987655786,174.84979329339876,843.4766235757046,894.670389516675,119.43960058702578,1.2349118753805228,38,216.61929709004906,1,12
2023-01-01 13:00:00+05:30,37.628690552560904,197.81644025403963,822.6283676753151,889.4840734963516,118.04905767824687,1.2616167450605325,38,212.815587010521,1,13
2023-01-01 14:00:00+05:30,44.36002344466335,216.27289289409651,729.2619229470598,863.6311473201232,111.6274485404341,1.397127243056842,40,195.40350557038727,1,14
2023-01-01 15:00:00+05:30,54.31503809116397,228.92732596226398,570.5281443512501,806.6306931748113,99.73242981705147,1.7109979252449448,40,163.9731956513881,1,15
2023-01-01 16:00:00+05:30,66.04301015550195,237.33405316727033,359.84258134587634,686.862803521915,80.53341940495977,2.4510875193323907,40,117.19069180294002,1,16
2023-01-01 17:00:00+05:30,78.74343846874433,243.00445302754463,123.79329862566983,396.5504634341626,45.84300001936195,5.001244551625817,40,51.614344945332924,1,17
2023-01-02 07:00:00+05:30,84.58987403743302,115.04242958461953,33.5621575023895,151.4941217822865,18.88313966923935,9.653348058154533,40,16.903413961405676,1,7
2023-01-02 08:00:00+05:30,71.59682340119025,119.81309008110026,255.7580381549225,593.7364786511704,67.8296523939986,3.1406992794367476,40,90.85458485643515,1,8
2023-01-02 09:00:00+05:30,59.35371183690458,126.84133137577061,482.9587241823436,766.4617195582271,91.9420196572828,1.9564627417392282,40,145.33931218728924,1,9
2023-01-02 10:00:00+05:30,48.45776251719464,137.3748549968219,667.1783748431465,844.9225193031147,106.6414680962564,1.5058414829638418,40,183.37740590124614,1,10
2023-01-02 11:00:00+05:30,40.043629973127395,153.14155904221275,791.091872633858,882.4566045423802,115.38385003002429,1.305055536968634,38,206.92877205079708,1,11
